comments,emotional_label
boolla daadhiin guutu qaalii namaa,4
hacee warri ijaa badaan sii ilaalu gaafa sanuu ija sitii qaba biyyeen sitii salphatu goota onnee sibiilaa,4
uufffffffff gara kootu gubatee onnee kootu madaae,4
hacee seenaan si hin dagatu ayii duunikee baayee na gube,4
maaloo hacee gubadhe,4
hacee biyyoon ana nyaatu si nyaattee saroonni osoon bakkakee due anii jiraatti gubadhe,4
hacee naa gubate keessi sii dhabne jechuudhaa amma,4
wayyoo hacaaluu maaloo si dhabuunoo garaa abiddaa nu gubee uuuuuuuuu,4
hacee onnee sabaa gubannee fidnu wallaalle sabni maal wayya egaa mirga qulqulloota boqodhu,4
hacee garaan na gubate,4
rabbi addunyaa kana si fuudhu,5
rabbi dhabamaa si godhu,5
rabbi si hin fayyisiin dhabamaa si godhu,5
rabbi si ajjeesu,5
rabbi nurraa si kaasu,5
rabbi si hin fayyisiin,5
rabbi si hin fayyisiin,5
rabbi dua naa dhageessisu,5
rabbi si hin fayyisiin achumaan dua na dhageessisu rabbi guddaan,5
yaa rabbi lubbuu isaa achumaan dhabamaa godhi,5
rabbi dua nu dhageessisu,5
yaa rabbi dhukkuba isaa na dhageessifte duu isaas nu dhageessisi dhihootti,5
rabbi lafa kana si dabarsu,5
rabbi dhabamaa si taasisu namni nabiyyii jaalatamaa kabajamaa tuqe yoomuu hin jiraatiin,5
rabbi dhabamaa godhu,5
rabbi dhabamaa taasisu,5
rabbi dhabamaa godhu,5
rabbi dabarsu falfalaa kana,5
rabbi addunyaa kana fuudhu,5
rabbi dhabamaa godhu,5
rabbi dhabamaa godhu,5
hin fayyiin rabbi si dhabamsiisu,5
rabbi achumaan dhabamaa si godhu,5
yaa rabbi dhabamaa godhi garaa gubetti rabbi gubee dabarsu,5
yaa rabbi dua isaa nuu dhageessisi,5
xiqqaate rabbi dhabamaa godhu,5
rabbi hin fayyisiin dhuma taatu saree kana,5
rabbi dhabamaa godhun dhiyeenyaa dua isaa nuu dhageessisu,5
rabbi dhabamaa isaa godhu,5
rabbi dhabamaa sii godhu,5
dhabamaa godhu rabbi,5
rabbi addunyaa kana balleessu saree kana,5
baayee nama gammachiisa,1
rabbi si ajjeesu,5
yaa rabbi dhabamaa godhi,5
rabbi hin fayyisiin,5
rabbi dhabamaa si godhu,5
rabbi daaraa bubbeen fuute godhu hin fayyiin ammallee,5
rabbi dhabamaa godhu abaaramaa kana,5
hin fayyisiin rabbi dhabamaa godhu,5
achumaan gara boolaatti rabbi dabarsu hin fayyisiin kolkollee kana,5
dhukkuba dhageenye rabbi dua na dhageessisu,5
rabbi dhabamaa godhu,5
baga gammaddan,1
somaale oromiyaa jiran qaluu eegaluu qabna amma somaaleen kabaja hin qabdu,5
amboo hundee gootaa,3
baga gammaddan baga gammanne,1
amboo baga gammadde goota miilaan adeemee dhufee simatteetta,1
akkasii yaa namatti tola jabaadha qeerroo oromoo,3
baayee gamanne gammadaa,1
jabaadhu muddi leencaa sanyii gootaa,3
baguma lammii taatan hedduu nu boonsitan,3
baga guyyaa gammachuu kanaan gahe ilmaan oromoo hundi,1
oromoonni lubbuun jirtan guyyaa kana arguu keessaniif baga gammaddan,1
baga gammaddan oromoon hundinuu,1
gammachuun jalqabamee kuni dhumaattii tau baayee gammanne guyyaa kana rabbi nuu agarsiiseef,1
baayee baayee nu gammachiisaa jirtani,1
yaa qeerroo nu gammachiistanii gammadaa isinis nu gamachistan kanatti umurii dheertuu isiniif hawwina,1
baga rabbi gammachuu kanaan gahe yaa qeerroo qeerroo gammachuu kana fiduuf wareegaman rabbi jennataa godhu,1
guyyaa seena qabbessa guyyaan haraa kuni dhugumaatti guyyaa addaati ilmaan oromootiif baga gammaddan,1
jawar lammaa gootota ilmaan abbaa gadaa keenyaa jaalanna hunda keessanuu,3
halaala taee dawwaachuu qofatu natti dhagaame gammachuu daanga hin qabneetu natti dhagaamaa jira,1
finfinnee handhuura oromiyaa alaabaa akkana mulachuu kabajama jalatamaa obboo jawaar biyya arguuf gammachuun daangaa hin qabu,1
gammachuun haraa kanuma addaati finfinneen ganamaan gammachuun guutamte kaniinis ulamootatu jira,1
maal kana caalaa nama gammachiisu jiraa yaa rabbi,1
guyyaan yaa qeerroo kiyya gammadi abbaan nagaan galeera jawar mohammad,1
baayee namatii toltu osoon biyya kiyya jiraadhee dhufee sin argee,3
fayyaa umurii dheertuu isiniif kennu haadha leenca kana nuu deette,3
guyyaa oromiyaa biyya ifatti bilisummaa isaa labsatedha baga gammanne,1
oromoo kiyya baayee isinitti tole guyyaan haraa guyyaa gammachuuti dhugaan isiniin jedha ilmaan oromoo addunyaarra jirtan hundinuu baga gammaddan,1
nuhoo alaabaan mana jiru kunoo ifaan ifaatti bahe baga gammadde gootaa,1
guyyaa nu fagootti ilaalaa turre dhiyooti argine yaa rabbi galanni imimmaan lafatti hin hafne,1
baga gammaddan oromoo buaan qabsoo keessanii mulateeraa,1
kunoo jabbaadhu jajjabee ilmaan oromoo luka tokkoon dhaabaa finfinnee,1
guyyaan oromoof guyyaa addaatti guyyaa oromoon guutuu oromiyaa keessaa walitti dhufee waliin sirbee waliin kolfee gammade galanni warra kufee nu ka argisiiseef tau,1
jawar leencaa oromoo hayyuu duree omn oromiyaatti arguun gammachuu daangaa hin qabanedha,1
umuriin jiraadhu oromoo finfinnee irratti akkanatti gammachuu kana arguu caalaa waanti na gammachiisu hin jiru,1
baga guyyaa gammachuu akkanaatiin nu gahe ilmaan oromoo ilmaan aayyaa hundumti keessanuu,1
guyaa haraa kana arguu kiyyaaf hedduu gammadee jira,1
eeggannoo cimaa gochuu barabachisaa diinni garaan gubatee ciisee hin buluu,2
yaa doktoora jaalalaa jechuman ittiin siifaarsun dhabe dhugaa rabbii oromoo mataa olqabde hamtuun si hin argiin diinni ija hin dandaiin,3
of eegaa warri finfinnee jirtan ammaatti boombiin lama qabamee jiraa,2
jabaadhaa hari guyyaa gammachuu guyyaa gootoota ittiin yaadannuu dha,1
yaa rabbi galanni baguma akkanaa kana ija kiyya arguu kiyyatti baayeen gammade,1
hedduun sodaadhe wal loltanii orma kofalchiistu jedheen suuta suuta,2
baga gammaddan oromoon hundi keessanuu guyyaa kana arguuf gaddaa turre hara gammachuu qeeree,1
qeerroo kiyya baga gammaddan gammachuun ha fufuuuuuu,1
baga gammadanii baga gammanne oromoo,1
gamachuun keenyaa daangaa hin qabu baga guyyaa kanaan nu gahe oromoonni martuu,1
of eeggannoo cimaan ammallee kallattii hundaan cimee taasifamu,2
baga jirtuu kana argitee hayyuu keenyaa nuho gobaanaa baayee sii jaaladha,3
jawaar goota si jaalanna hamtuun si hin aragiin qeerroo waliin umurii dheeradhu,3
jawar abbaa qeerroo oromoo tokko goote ati leenca guddisa leenjisoo diigaa nadhii gammadaa waaqoo guutuu jaarraa abbaa gadaa,3
baga,1
jarana dubbiin akkamii gammachuu daangaa darbe yaa oromoo rabbi nurratti dagatu kaa jabaadhaa,1
of eeggannoo guddaa godhaa ammaatti boombiin lama qabame jetti oduun rabbi eeguu,2
guyyaa kana arguun hedduu nama gammachiisa hedduu natti tole,1
lammii oromoo baga gammanne gammadan biyya keessaa kaan biyya alaa jirtan hundi,1
baayee namatti tola gammachuun natti tola,1
oromoon hunduu guyyaa gammachuu baga argitan gammanee gammadaa warrii biyya jiruuf biyya ormaa jirtan illee baga guyyaa gammachuu argitan,1
baga waaqayyo carraa bareedaa akkasii kenne naaf jiraadha leencota oromoo,3
raayyaa abbas maccaa dr abiy keenyaa jaalladha achitti argaamuu keessaniif,3
artist nuhoo goobanaa baga gammaddeebaga jirtuu ijaan rabbi si garsiisee xiqqattuus,1
oromummaa kootti boone wallaahi qeerroo baga guyyaa gammachuu kanaan gahe gammachu kiyyaa ittiin ibsu hin qabu hundaafuu alhamdulillah,1
haati dhiiraa hin gammaddi lafa gangalattee ilma kootti naaf himaa gammachuu jettee,1
baga gammaddan oromoon kiyya hafteenis rabbiin gahu barri bara bilisummaa birmadummaa yaa godhu rabbiin,1
ni turraa ni urraa jettee bombiin baga gammanne oromoo mammaksii hara dhugaattii jijjirame qeerroooo,1
galata rabbii warra wareegamaniif guyyaa guyyatti gammachuu oromoo argina,1
artistii kabajamaa jalatamaa nuhoo gobanaa baga bilisummaa uummata keetii argite,3
biyyi itoophiya jedhamtu ummata oromoo alaaba kana alaatti hin jiraattu baga taatan yaa qomoo,3
lammii oromoo baga gammaddan isiinin jedha hundumti guyyaa kana arguu keessaniif,1
baayee baayee nama gammachiisa uummanni oromoo hundi baga gammaddan,1
qeerroo dhiigni bishaanii lafatti jige kunoo bilisummaa siif fideera gammadi,1
jaalanna hunda keessanuu jiraadhaa bakka jirtanitti rabbi eegu,3
yaa oromoo hedduu gammanne baga gammaddan jawaar,1
haraa gammadee hin beeku maaluma akkan jedhun dhabe maraafu baga gammaddan baga gamanne ummanni oromoo guutuun,1
imimmaantu nama qaba gammachuu baee oromoon carraa akkanaa argatee hin beeku,1
guyyaa kana arguu koof gammachuun daangaa hin qabu amma illee tokko taane sichi hedduu hojjeenna,1
abbaan qeerroo dachee isaa oromiyaa lammiilee isaa waliin akkatti wal qunnamuun isaa hedduu nama gammachiisa,1
rabbi galanni gau lammii naaf jiraadhaa baayee jaaladha,3
galanni rabbiiti asiin nu gae baayee gammanna duraanuu gargar laaluu keenyatu asiin nu gae jajjabaadhaa qeerroo,1
baga guyyaa billisummaa kanaan nuu gahee oromoo hayyuu falmaa mirgaa dhala namaa baga oromiyaa biyya harmee keetti galtee,3
baayee nama gammachiisa jabaadhaa yaa qeerroo qarree oromiyaa baayee bareeddu jiradhaa ijji hamtuun hin argiin,1
yaa rabbi uummata akkanatti gammachiisuu keetiif galanni guddaa dha,1
baayee baayee gammanne jabaadhaa waliin jirra,1
egannoon sochoaa qomooo diinni isiin fakkaatee miidhuu dandaaa,2
namni dhugaan sabaa isaatiif hojjate kunoo akkanatti kabaja argata galatoomaa oromoo,3
yaa sanyii bareeddanii jawaar baga galte gara biyya abbaa keetiitti,3
kaaa dhiiroo dhiirti dhuftee baga nagaan biyya keettii galte leenca namaa,3
baga guyyaa gammachuu kanaan gahe ilmaan oromoo hundi qeerroo jabaadhaa,1
caalaa bultumee ajjeesaa ijoolleen aggaaroo maal eegduu yaa dhiiraa gumaa mahammad sayid baasaa,5
abbaan nuhoo gobanaa bakka kana dhufuun baayee na gammachiise,1
hedduu namatti tola baayee gammannee jirra,1
guyyaan dhugumaan guyyaa addaati guyyaa gammachuu guyyaa seena qabeessaati,1
baga gammanne baga gammaddan ilmaan oromoo addunyaa kana jirtan martinuu gammachuun ittuma fufu,1
yaa rabbi kiyya gammachuu akkanumatti walitti dhaabi,1
guyyaan haraa guyyaa dhaloota ummata oromooti hin dandaamaa baga gammanne,1
gamanne baga gammaddan ummata oromoo hundi keessanuu gammachuu guyyaa haraa qofa hin taane fufuu qabuu dha,1
duraan dursee ilmaan oromoo hundumti baga gammadda,1
guyyaan guyyaa gammachuu oromoota hundaati seenaa dhaloota guyyaa hara argee hin beeku,1
baga rabbi gammachuu guddaa kanaan nu gahe aanse nuhoo goobanaa baga rabbii gammachuu kanaan si gahe,1
baga gammanne baga gammaddan warri wareegameef,1
wayyoo osoon jiraadhee hedduu natti tola baguman oromoo taee dhaladhee baayeen gammade,1
baga gammaddan baga gammanne oromoonni hundi,1
imimmaan bara hedduu dhangalaasaa turre gammachuu taee guyyama guyyaan deebiaa jira alhamdulillaahi,1
baga nagaan biyya abbaa geesse baga gammadde baga gammanne ijji amajaajii jaamtu,1
guyyaan guyya seena qabeesa sabaa sablamootaa biyya keenyaa hundaaf baga gamaddan baga gammanne isiin jedha,1
nama hagana baayatu kana bineensi guyyaa hin dhabamuu of eegaa qeerroo adaraa maaloo,2
baga gammaddan qeerroon oromiyaa,1
warri oromiyaa jirtan baga rabbi dhiiga keessaniif imimmaan gammachutti isiniif jijjiire,1
baga nagaan galte obbboo jawaar si jaalanna adaraa tokko maddii isaa naaf dhungadhaa,3
yaa jawar baguma gammadde diinni mataan gadi cabe yaa lammaa baguma gammadde diina mataan gadi cabeyaa abiy baguma gammadde diina mataan gadi cabe waaqayyoo galatoomu kanaan gammachuu kana nu agarsiise,1
baga gammaddan ummata oromoo kaaba kibba bahaa dhiha jirtan martinuu baga gammaaddan baga gammanne hundi rabbi galanni gau walii galtee kenne,1
oromoo kiyya baga gammanne yaa waaqa guyyaa kanaan nu geesse galatoomi,1
gamachuun haraa dhiiga qeerrofi qarreetiin dhufte wanta meeqa nu gammachiise wanta xiqqoo nu gaddisiisa ummanni oromoo haala kanaan oromummaa biyya isaa irratti calaqqisiisuun baayee nu gammachiisa,1
gammachuun haraa gammachuu oromoo qofa miti gammachuu ummata hedduu tau qaba jettan omn hin dhufiin dura namni magaala keessayyuu bahee galuu hin dandau ture amma omn oromoo qofa hin taiin biyyatti itoophiyaa jedhamtu bilisoomsee taeef,1
wallaahi abjuu natti fakkaataa jira yaa rabbi galanni dachaa dachaan kanaan nu geesse bara gaddaa nu baaftee bara gammachuuttis nu agarsiifte ammas dabali nurraa hin fudhatiin yaa rabbi,1
baga gammaddan qeerroo oromoo baga gammadde jawaar mohammad,1
baga gammanne ummatni oromoo hundii sabaa sablammootni itoophiyaa hundi,1
baga gammaddan ummanni oromoo qeerroon baga eebba omn geessan,1
baayee tokko namatti toltuu,3
ayii guyyaa jecha meeqa qeerroo qarree haadhaa abbaa hayyuu meeqa dhiiga isaanii dhangalae baayee nama gaddisiisa,4
guyyaa kana arguu keenyaaf oromoon hundi baga gammanne,1
jawaar goota dhaloota qubee umurii dheeradhu,3
baga kanaan gahe oromoo gammaachuun na guute laphee,1
oromoo hara gammachuu waanan jedhee ibsadhun dhabe,1
baga gammaddan yaa ilmaan oromoo billisummaa walabummaan kanuma,1
baga gammaddan ummanni oromoo keessaaf alaa hundi keessanuu,1
ishoo baga rabbi kanaan nu gahe oromoo siin jaallaadha sanyii gootaa,3
nutis gammachuun of wallaalle diinas garaan gubate,1
hedduu gammanneerra ammas gammachuun guyyaa gara guyyaatti dabalu,1
qeerroon finfinnee dhuunfate nama gammachiisaa,1
hara baayeen gammade abbaan biyyaa oromoodha bagan oromoo tae,1
baga guyyaa kanaan gahe oromoota hedduu na gammachiisa,1
gammachuun daangaa dabartee imimmaan nuu keessaa fixxe,1
baga gammanne oromoon marti,1
baga galte abbaa qeerroo obboo jawaar mohammad gamannee gammadi,1
galanni rabbii hin badiin dhugaa akkaan gammachuun natti dhagaamte,1
gammanneerra ummatni oromoo hundi baga gammaddan,1
adaraa adaraa of eeggannoo baayisaa yaa qeerroo,2
baayee baayee nama gammachiisa baga ittiin nu gahe galata yaa waaqayyo,1
galata doktar abiy galata obboo lammaa magarsaa nu gammachiftanii gammaddaa,1
gamachuun natti baayate imimmaan qabachuu dadhabe,1
caalaa bultumee arguu hin barbaannu dhagahuus hin barbaannu hin fidiinaa,5
ampampjawaar leencaa sabaa gootaa keenyaa umurii dheeradhuampamp,3
dr abiy situu nu boonse situu mataa nu qabe jiraadhu,3
gammanne yaa ilmaan oromoo gammachuu haraa waaniin ibsadhu hin beeku,1
baga guyyaa kana argitani oromoo,1
baga gammaddan oromoon adunyaa kana irratti argamtan hundi,1
qeerroo qarreen biyya jirtan nu boonsitanii jirtu jiraadhaa,3
ayiiii lubbuu isaa oromoof dabarse,4
oromoo gammachuu fiixa baatu rabbiin godhu,1
oromoo hedduu na gammachiise jiraadhaa hayyoonnii beektonni oromoo,1
hunda dura gammachuu kana nu agarsiise rabbi guddaa galanni gau,1
yaa oromoo caalaa bultumee achi jraate ajjeesaa,5
guyyaa haraa guyyaa addaati guyyaa seena qabeessa baga gammanne oromoo,1
jawaar ummata oromoo baayee boonsitee jiraadhu,3
rabbi eeguu oromoo ummata qaalii,3
kana caalaa wanti nama gammachiisu hin jiru galatoomi qeeerroo,1
baga deesse leenca kana jiraatan,3
jaawar goota oromoo hayyuu,3
gammachuun daangaa hin qabu,1
gootaa nuhoo goobanaa baga guyyaa kanaan si gahe,3
sanyii waaqoo guutuu hadhaa qabsoo baalee roobee baga gammaddan,1
baga gammaddan qeerroo oromoo baga gammannee baga guyyaa gammachuu kanaan nu gahe,1
wanti kana caalaa nama gammachiisu maaltu jira,1
kana caalaa waanti nama gammachiisu ni jira jedhee hin yaadu,1
gammachuunis akkanatti nama boochisa,1
baguma mirgaan galtani qeerroo,1
baga harmee oromiyaatti nagaan nuu galte leencaa,3
baga gammaddan baga gammannee oromoo,1
qeerroo baga gammaddan hara abbaa keessaniin wal argitan,1
abba dr abiy jiraadhu umurii dheeradhu leenca leenca dhalche,3
baga diinni garaan gubattee akkas oromoo akkasitti garaa gubaa,1
oromoo bagumaa gamaddee diina mataan gadi cabde,1
guyyaa haraa finfinnee handhuurri oromiyaa hedduu gammadde,1
baga gammaddan qeerroo baga abbaa keessaniin wal argitan,1
qeerroo baga gammanne,1
caalaa daggafaa baga guyyaa gammachuu kana argite leenca oromiyaa,1
baga gammaddan qomoo uummanni oromoo hundinuu baga gammanne,1
baayyee bareeddu ijoollee biyya abbaa handhuura oromiyaa finfinnee,3
gamanne baga gamanne hundi ilmaan oromo bakka jirtan maratti,1
baga gammaddan baga gammanne oromoo,1
gammachuu guyyaa haraa jechuman ittiin ibsadhun dhabe yaa oromoo,1
masha allaah baga rabbi nu gammachiise uummata oromoo,1
baayee bareeddu,3
harmee nu gammachiiftee baga rabbi si gammachiise,1
baga gammanne uummata oromoo,1
doktar abiyyi doctora jaalalaa jiraadhu beekaa hayyuu oromoo,3
baga gammanne oromoo,1
guyyaa kana arguu kootti baayeen gammada rabbii galanni gahuu,1
gammachuun kiyya daangaa hin qabu kana arguu kiyyaaf,1
oromoo kiyya nuu boonsitan jabaadhaa,1
jawar jiraadhuu sanyii leencaa,3
baga gammanne ilmaan oromoo,1
jawar mohammed jiraadhu leencaa wayiiti ati,3
alhamdllilaah baga gammadan oromoo,1
hedduu si jaalanna,1
baga gammaaddan oromoo,1
gammadaa yaa uummata oromoo galata rabbiif galchaa,1
baga guyyaa gammachuu kanaan gahe ilmaan oromoo baga gammannee baga gammaddan,1
akkas ijoollee biyya naaf jiraadhaa,3
hedduu jaalanna yaa ilmaan abbaa gadaa,3
baga guyyaa gammachuu kanaa geessan lammiin hundi,1
baga gammadan ilmaan oromoo addunyaarra jirtan hundi,1
siniif tau oromoo na gammachiistani,1
baguma rabbi nu agarsiise oromoo akkattin gammade,1
baga gammanne qomoo,1
baayee baayee gaammanne ilmaan oromoo,1
gammachuu kana hin jenne gammanne jawaar abbaa qeerroo,1
baayee nama gammachiisa,1
baga gammanne oromoo,1
gammadaa qeerroo firii qabsoo keesssanii argitani gammadaa mataa qabadhaa,1
oromoon hundi baga walumaan gammanne,1
namatti tolaa abjuu fakkaata alhamdulillah,1
jiraadhu sanyii ilma abbaa gadaa,3
hedduu nama gammachiisa yaa sabaa baga gammanne,1
baayee gammanne wayi biyya sirraa fagaadhus yaanni bira,1
gammannee gammadaa yoomuu abdiin gara fuulduraa jawaar mohaammadi dha,1
gammachuun daangaa natti taree na boochisaa jira,1
baga gammanne oromoo,1
alhamdulillah guyyaa gammachuu uummata oromoo na argarsiifte baga gammanne,1
baga gammaddan baga gammanne oromoo,1
maal isiniif godhu gammachuu guddaatu natti dhagahame haraa dhugaa,1
baayee bareeddu ija hamaa hafaa,3
namatti tola qeerroo jabaadhaa boonaa boosisaa faajjii bilisummaa,3
gammachuu dubbadhuun wallaale,1
baayee ittiin boona biyya oromiyaa,1
gammachuu haraa kanaan shamarran sadi fuudhuu qaba,1
baga gammaddan ilmaan oromooo hundi bakka jirtanitti,1
hara waaee gandummaa haasau duu,5
guyyaa addaati hara baga gammaddan oromoon martinuu,1
baga gammanne qeerroo keenyaa,1
oromoo qomoo baayeen jaaladha,1
baayee gammannee jirra,1
rabbi tiksu adaraa eegumsa cimsuu qabdu yaa saba,2
baga gammadani ilmaan oromoo hundi keessanuu,1
waraabessi guyyaa narra hin nyaanne of eeggannoo guddaa godhaa qeerroo,2
gammannee gammadi,1
gammachuun milkii tau,1
gammachuun daangaa darbe osoon bira jiraadhe natti tola,1
abbaa nuhoo gobanaa baga jiraattee kana argite,3
oromoon qulqulluun makaa hin qabne bareedaa,3
oromoo ijji hamaan hin argiin,3
nuuhoo goobanaa gammachuu booaa jira,1
gammadaa warri biyya jirtan guyyaa kana arguu keessaniif,1
abbaa dr abiyyi hara achitti arguutti hedduun gammade,1
hundi keessanuu oromoon bakka jirtanitti baga gammaddan,1
nuhoo gobanaa baayee si jaalanna baga rabbi kana si agarsiise,3
achi jiraachuu dhabu kootiif baayeen gadda,4
ijoollee oromiyaa baga gammaddan baga gammanne,1
gammannee gammadaa yaa ilmaan aayyaa oromoo kiyya,1
guyyaan haraa guyyaa gammachuu oromoo oromiyaati,1
gammannerra hundi waliin baga gammanne lammiin hundi,1
nuhoo goobanaa si jaalanna,3
harmee haadha gootaa ana dhufu,3
baga gammaddan oromooon addunyaa irratti argamtan hundi,1
guyyaan hardhaa gammachuu milkii tauu,1
baga gammanne hundi,1
gammachuu jedhee ibsadhuun dhabe,1
baga gammaddani oromoo,1
rabbi eeguu sanyiiwwan,3
baga gammanne oromoo kiyya bakka jirtanitti hundi keessanuu,1
baga gammanne baga gammadan oromiyaa kiyyaa lubbuu,1
abbaa nuhoo baga guyyaa kana argite sin jaalanna,3
baayee nama gammachiisa,1
baga gammaddan oromoo kiyya,1
lubbuu kiyya jawwee qeerroo baga gammaddan,1
adaraa of eeggannoo jabessaa qeerroo,2
baga gammaddan qeerroo maal qaba osoon achi jiraadhe,1
baayee nama gammachiisa achi jiraachuu dhabuu kiyyaaf,1
harmee oromiyaa baga naaf gammaddan natti toleera,1
baayee nama gammachiisa,1
qeerroo baga gammaddan baga gammanne rabbi galateeffadhaa,1
baga gammaddan,1
baayee nama gammachiftu,1
qeerroo baga gammaddan oromoon hundi baga gammaddan,1
baga gammanne oromoo,1
gammachuun bakka seenu wallaale,1
baga gammaddan oromoo,1
baayeen gammade dhugaa,1
jiraadhu oromiyaa galatoomaa jabaadhaa,3
baga gammaddan yaa oromoo kiyya baga gammanne,1
baga gammaddan baga gammanne qeerroo,1
baga gammaddan qeerroon oromoo ummaani oromoo hundi keessanu,1
gammannee gammadaa hundi keessanuu ilmaan oromoo,1
baga gammaddan,1
baga gammaddan qeerroo qarree sabaa,1
baga gammaddan oromoon hundi,1
oromoo baga walumaan gammachuu argine,1
gammachuu bibila kiyya fudhadhee mana fincaanii deeme,1
gammachuu of wallaale hara,1
baga gammanne baga gammaddan,1
gammannee gammadi qeerroo jawaar,1
gammachuu booyee,1
baga gammaaddani qeerroon oromiiyaa,1
baga gammaddan oromoo,1
guyyaan gammachuu tokko hara,1
hedduu nama gammachiisa gammadaa lammii,1
yaa qeerroo gammachuun dubbadhu wallaale,1
nuhoo goobanaa umurii nuu dheeradhu,3
nama gammachiiftuu dhugaa,1
guyyaan billisummaa hawwaa turre hara gammadaa oromoo,1
shamarran oromoo naaf bilbilaa gammachuu kana waliin gammannaa,1
jiraadhaa oromoo baayee jaalanna,3
baga rabbi nagaan biyya keef sii gahe jawaar akkan si jaaladhu beektee,3
hedduu nama gammachiisa,1
baga gamaddani oromo baayee gammadeera,1
oromoo kiyya saba dhiiga jaaladha,3
